Date : 2026-03-25 17:51:51
Directory : c:\Code\omni-chat
Total : 174 files,  38279 codes, 87 comments, 3692 blanks, all 42058 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| TypeScript         |        122 |     19,043 |         78 |      2,330 |     21,451 |
| TypeScript JSX     |         25 |      9,432 |          6 |      1,079 |     10,517 |
| JSON               |          8 |      8,618 |          0 |          7 |      8,625 |
| Markdown           |          6 |        880 |          0 |        226 |      1,106 |
| JavaScript         |          2 |        174 |          1 |         40 |        215 |
| XML                |          7 |         66 |          2 |          6 |         74 |
| JSON with Comments |          2 |         53 |          0 |          2 |         55 |
| HTML               |          1 |         12 |          0 |          1 |         13 |
| PostCSS            |          1 |          1 |          0 |          1 |          2 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                       | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                          |        174 |     38,279 |         87 |      3,692 |     42,058 |
| . (Files)                                                                  |          5 |        714 |          0 |         17 |        731 |
| client                                                                     |         53 |     14,549 |         18 |      1,239 |     15,806 |
| client (Files)                                                             |          5 |      4,037 |          0 |          6 |      4,043 |
| client\public                                                              |          7 |         66 |          2 |          6 |         74 |
| client\public\platform-icons                                               |          7 |         66 |          2 |          6 |         74 |
| client\src                                                                 |         41 |     10,446 |         16 |      1,227 |     11,689 |
| client\src (Files)                                                         |          4 |         59 |          1 |         10 |         70 |
| client\src\components                                                      |          1 |        397 |          0 |         38 |        435 |
| client\src\features                                                        |         15 |      2,929 |          3 |        357 |      3,289 |
| client\src\features\channels                                               |          1 |        111 |          0 |         12 |        123 |
| client\src\features\inbox                                                  |          9 |      2,641 |          3 |        327 |      2,971 |
| client\src\features\ui                                                     |          5 |        177 |          0 |         18 |        195 |
| client\src\hooks                                                           |          1 |        221 |          2 |         27 |        250 |
| client\src\pages                                                           |         10 |      6,207 |          3 |        729 |      6,939 |
| client\src\services                                                        |          3 |         97 |          0 |         17 |        114 |
| client\src\types                                                           |          2 |        382 |          0 |         29 |        411 |
| client\src\utils                                                           |          5 |        154 |          7 |         20 |        181 |
| docs                                                                       |          3 |        507 |          0 |        211 |        718 |
| scripts                                                                    |          1 |         14 |          0 |          5 |         19 |
| server                                                                     |        112 |     22,495 |         69 |      2,220 |     24,784 |
| server (Files)                                                             |          3 |      4,268 |          0 |          3 |      4,271 |
| server\scripts                                                             |          1 |        160 |          1 |         35 |        196 |
| server\src                                                                 |        108 |     18,067 |         68 |      2,182 |     20,317 |
| server\src (Files)                                                         |          2 |        130 |          0 |         14 |        144 |
| server\src\channels                                                        |         10 |      2,992 |          4 |        262 |      3,258 |
| server\src\config                                                          |          1 |        100 |          4 |          8 |        112 |
| server\src\lib                                                             |         10 |        769 |          9 |        114 |        892 |
| server\src\middleware                                                      |          4 |        189 |          5 |         32 |        226 |
| server\src\models                                                          |         19 |        896 |          2 |         98 |        996 |
| server\src\routes                                                          |         26 |      3,138 |         23 |        402 |      3,563 |
| server\src\routes\api                                                      |         12 |      2,031 |         15 |        279 |      2,325 |
| server\src\routes\public                                                   |          7 |        794 |          0 |         59 |        853 |
| server\src\routes\webhooks                                                 |          7 |        313 |          8 |         64 |        385 |
| server\src\scripts                                                         |          1 |        413 |          0 |         21 |        434 |
| server\src\services                                                        |         32 |      8,822 |         21 |      1,163 |     10,006 |
| server\src\tests                                                           |          1 |        597 |          0 |         62 |        659 |
| server\src\types                                                           |          2 |         21 |          0 |          6 |         27 |
+----------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+----------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| filename                                                                   | language           | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| c:\Code\omni-chat\APPREADME.md                                             | Markdown           |         29 |          0 |         11 |         40 |
| c:\Code\omni-chat\README.md                                                | Markdown           |        208 |          0 |          2 |        210 |
| c:\Code\omni-chat\README2.md                                               | Markdown           |        136 |          0 |          2 |        138 |
| c:\Code\omni-chat\client\index.html                                        | HTML               |         12 |          0 |          1 |         13 |
| c:\Code\omni-chat\client\package-lock.json                                 | JSON               |      3,953 |          0 |          1 |      3,954 |
| c:\Code\omni-chat\client\package.json                                      | JSON               |         34 |          0 |          1 |         35 |
| c:\Code\omni-chat\client\public\platform-icons\facebook.svg                | XML                |         13 |          1 |          3 |         17 |
| c:\Code\omni-chat\client\public\platform-icons\instagram.svg               | XML                |         14 |          0 |          1 |         15 |
| c:\Code\omni-chat\client\public\platform-icons\line.svg                    | XML                |          5 |          0 |          1 |          6 |
| c:\Code\omni-chat\client\public\platform-icons\telegram.svg                | XML                |         11 |          0 |          0 |         11 |
| c:\Code\omni-chat\client\public\platform-icons\tiktok.svg                  | XML                |          5 |          1 |          0 |          6 |
| c:\Code\omni-chat\client\public\platform-icons\viber.svg                   | XML                |          7 |          0 |          0 |          7 |
| c:\Code\omni-chat\client\public\platform-icons\website.svg                 | XML                |         11 |          0 |          1 |         12 |
| c:\Code\omni-chat\client\src\App.tsx                                       | TypeScript JSX     |         43 |          0 |          6 |         49 |
| c:\Code\omni-chat\client\src\components\app-shell.tsx                      | TypeScript JSX     |        397 |          0 |         38 |        435 |
| c:\Code\omni-chat\client\src\features\channels\ChannelConnectionCard.tsx   | TypeScript JSX     |        111 |          0 |         12 |        123 |
| c:\Code\omni-chat\client\src\features\inbox\ChannelBadge.tsx               | TypeScript JSX     |         55 |          0 |          3 |         58 |
| c:\Code\omni-chat\client\src\features\inbox\Composer.tsx                   | TypeScript JSX     |        722 |          0 |         72 |        794 |
| c:\Code\omni-chat\client\src\features\inbox\ContactPanel.tsx               | TypeScript JSX     |        690 |          0 |         83 |        773 |
| c:\Code\omni-chat\client\src\features\inbox\ConversationList.tsx           | TypeScript JSX     |        198 |          0 |         23 |        221 |
