"filename", "language", "Markdown", "TypeScript", "TypeScript JSX", "XML", "comment", "blank", "total"
"c:\Code\omni-chat\AGENTS.md", "Markdown", 112, 0, 0, 0, 0, 23, 135
"c:\Code\omni-chat\PLANS.md", "Markdown", 71, 0, 0, 0, 0, 15, 86
"c:\Code\omni-chat\README2.md", "Markdown", -136, 0, 0, 0, 0, -2, -138
"c:\Code\omni-chat\client\public\platform-icons\line.svg", "XML", 0, 0, 0, -4, 0, -1, -5
"c:\Code\omni-chat\client\src\App.tsx", "TypeScript JSX", 0, 0, 167, 0, 0, 25, 192
"c:\Code\omni-chat\client\src\components\LegalDocumentPage.tsx", "TypeScript JSX", 0, 0, 55, 0, 0, 8, 63
"c:\Code\omni-chat\client\src\components\PublicSiteShell.tsx", "TypeScript JSX", 0, 0, 127, 0, 0, 16, 143
"c:\Code\omni-chat\client\src\components\app-shell.tsx", "TypeScript JSX", 0, 0, 100, 0, 0, 7, 107
"c:\Code\omni-chat\client\src\components\portal-shell.tsx", "TypeScript JSX", 0, 0, 82, 0, 0, 8, 90
"c:\Code\omni-chat\client\src\content\site.ts", "TypeScript", 0, 84, 0, 0, 0, 6, 90
"c:\Code\omni-chat\client\src\features\inbox\Composer.tsx", "TypeScript JSX", 0, 0, 43, 0, 0, 2, 45
"c:\Code\omni-chat\client\src\features\inbox\sticker-catalog.ts", "TypeScript", 0, 18, 0, 0, 0, 0, 18
"c:\Code\omni-chat\client\src\features\portal\billing-form-helpers.ts", "TypeScript", 0, 72, 0, 0, 0, 5, 77
"c:\Code\omni-chat\client\src\features\portal\portal-display.ts", "TypeScript", 0, 41, 0, 0, 0, 12, 53
"c:\Code\omni-chat\client\src\features\portal\portal-workspace-context.ts", "TypeScript", 0, 18, 0, 0, 0, 3, 21
"c:\Code\omni-chat\client\src\features\portal\portal-workspace-helpers.ts", "TypeScript", 0, 32, 0, 0, 0, 8, 40
"c:\Code\omni-chat\client\src\hooks\use-session.tsx", "TypeScript JSX", 0, 0, 68, 0, 1, 10, 79
"c:\Code\omni-chat\client\src\pages\AISettingsPage.tsx", "TypeScript JSX", 0, 0, 52, 0, 0, 3, 55
"c:\Code\omni-chat\client\src\pages\AcceptInvitePage.tsx", "TypeScript JSX", 0, 0, 7, 0, 0, 0, 7
"c:\Code\omni-chat\client\src\pages\AccountPage.tsx", "TypeScript JSX", 0, 0, 254, 0, 0, 31, 285
"c:\Code\omni-chat\client\src\pages\ChannelsPage.tsx", "TypeScript JSX", 0, 0, 19, 0, 0, 2, 21
"c:\Code\omni-chat\client\src\pages\CreateWorkspacePage.tsx", "TypeScript JSX", 0, 0, 145, 0, 0, 21, 166
"c:\Code\omni-chat\client\src\pages\DataDeletionPage.tsx", "TypeScript JSX", 0, 0, 38, 0, 0, 3, 41
"c:\Code\omni-chat\client\src\pages\InboxPage.tsx", "TypeScript JSX", 0, 0, 72, 0, 0, 3, 75
"c:\Code\omni-chat\client\src\pages\LandingPage.tsx", "TypeScript JSX", 0, 0, 260, 0, 0, 19, 279
"c:\Code\omni-chat\client\src\pages\LoginPage.tsx", "TypeScript JSX", 0, 0, -18, 0, 0, 11, -7
"c:\Code\omni-chat\client\src\pages\PortalDashboardPage.tsx", "TypeScript JSX", 0, 0, 227, 0, 0, 15, 242
"c:\Code\omni-chat\client\src\pages\PortalPlanCatalogPage.tsx", "TypeScript JSX", 0, 0, 457, 0, 0, 27, 484
"c:\Code\omni-chat\client\src\pages\PortalPlansPage.tsx", "TypeScript JSX", 0, 0, 387, 0, 0, 24, 411
"c:\Code\omni-chat\client\src\pages\PortalStaffPage.tsx", "TypeScript JSX", 0, 0, 246, 0, 0, 17, 263
"c:\Code\omni-chat\client\src\pages\PortalWorkspaceAuditPage.tsx", "TypeScript JSX", 0, 0, 63, 0, 0, 4, 67
"c:\Code\omni-chat\client\src\pages\PortalWorkspaceBillingPage.tsx", "TypeScript JSX", 0, 0, 680, 0, 0, 41, 721
"c:\Code\omni-chat\client\src\pages\PortalWorkspaceChannelsPage.tsx", "TypeScript JSX", 0, 0, 193, 0, 0, 14, 207
"c:\Code\omni-chat\client\src\pages\PortalWorkspaceLayout.tsx", "TypeScript JSX", 0, 0, 230, 0, 0, 14, 244
"c:\Code\omni-chat\client\src\pages\PortalWorkspaceMembersPage.tsx", "TypeScript JSX", 0, 0, 152, 0, 0, 8, 160
"c:\Code\omni-chat\client\src\pages\PortalWorkspacePage.tsx", "TypeScript JSX", 0, 0, 184, 0, 0, 9, 193
"c:\Code\omni-chat\client\src\pages\PrivacyPage.tsx", "TypeScript JSX", 0, 0, 28, 0, 0, 2, 30
"c:\Code\omni-chat\client\src\pages\PublicWorkspacePage.tsx", "TypeScript JSX", 0, 0, 482, 0, 0, 44, 526
"c:\Code\omni-chat\client\src\pages\StickerLibraryPage.tsx", "TypeScript JSX", 0, 0, 587, 0, 0, 62, 649
"c:\Code\omni-chat\client\src\pages\TermsPage.tsx", "TypeScript JSX", 0, 0, 27, 0, 0, 2, 29
"c:\Code\omni-chat\client\src\pages\WorkspaceMembersPage.tsx", "TypeScript JSX", 0, 0, 154, 0, 0, 15, 169
