"filename", "language", "Markdown", "JSON", "TypeScript", "JSON with Comments", "JavaScript", "TypeScript JSX", "HTML", "PostCSS", "XML", "comment", "blank", "total"
"c:\Code\omni-chat\AGENTS.md", "Markdown", 112, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 135
"c:\Code\omni-chat\APPREADME.md", "Markdown", 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 40
"c:\Code\omni-chat\PLANS.md", "Markdown", 71, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 86
"c:\Code\omni-chat\README.md", "Markdown", 208, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 210
"c:\Code\omni-chat\client\index.html", "HTML", 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 1, 13
"c:\Code\omni-chat\client\package-lock.json", "JSON", 0, 3953, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3954
"c:\Code\omni-chat\client\package.json", "JSON", 0, 34, 0, 0, 0, 0, 0, 0, 0, 0, 1, 35
"c:\Code\omni-chat\client\public\platform-icons\facebook.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 13, 1, 3, 17
"c:\Code\omni-chat\client\public\platform-icons\instagram.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 14, 0, 1, 15
"c:\Code\omni-chat\client\public\platform-icons\line.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"c:\Code\omni-chat\client\public\platform-icons\telegram.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 11
"c:\Code\omni-chat\client\public\platform-icons\tiktok.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 5, 1, 0, 6
"c:\Code\omni-chat\client\public\platform-icons\viber.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 7
"c:\Code\omni-chat\client\public\platform-icons\website.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 1, 12
"c:\Code\omni-chat\client\src\App.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 210, 0, 0, 0, 0, 31, 241
"c:\Code\omni-chat\client\src\components\LegalDocumentPage.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 55, 0, 0, 0, 0, 8, 63
"c:\Code\omni-chat\client\src\components\PublicSiteShell.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 127, 0, 0, 0, 0, 16, 143
"c:\Code\omni-chat\client\src\components\app-shell.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 497, 0, 0, 0, 0, 45, 542
